19:20:19  |  Core  |  Info  |  destroy layer 'MessageBox'  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
19:20:19  |  Core  |  Info  |  destroy layer 'InputBlocker'  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
19:20:19  |  Core  |  Info  |  destroy layer 'Pointer'  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
19:20:19  |  Core  |  Info  |  LayerManager successfully shutdown  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  59
19:20:19  |  Core  |  Info  |  * Shutdown: FontManager  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_FontManager.cpp  |  49
19:20:19  |  Core  |  Info  |  FontManager successfully shutdown  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_FontManager.cpp  |  57
19:20:19  |  Core  |  Info  |  * Shutdown: ControllerManager  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  49
19:20:19  |  Core  |  Info  |  ControllerManager successfully shutdown  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  59
19:20:19  |  Core  |  Info  |  * Shutdown: ClipboardManager  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  46
19:20:19  |  Core  |  Info  |  ClipboardManager successfully shutdown  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  54
19:20:19  |  Core  |  Info  |  * Shutdown: LayoutManager  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayoutManager.cpp  |  42
19:20:19  |  Core  |  Info  |  LayoutManager successfully shutdown  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayoutManager.cpp  |  49
19:20:19  |  Core  |  Info  |  * Shutdown: PluginManager  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  40
19:20:19  |  Core  |  Info  |  PluginManager successfully shutdown  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  45
19:20:19  |  Core  |  Info  |  * Shutdown: DynLibManager  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  37
19:20:19  |  Core  |  Info  |  DynLibManager successfully shutdown  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  44
19:20:19  |  Core  |  Info  |  * Shutdown: LanguageManager  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  41
19:20:19  |  Core  |  Info  |  LanguageManager successfully shutdown  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  45
19:20:19  |  Core  |  Info  |  * Shutdown: ResourceManager  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  47
19:20:19  |  Core  |  Info  |  ResourceManager successfully shutdown  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  57
19:20:19  |  Core  |  Info  |  * Shutdown: FactoryManager  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  34
19:20:19  |  Core  |  Info  |  FactoryManager successfully shutdown  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  36
19:20:19  |  Core  |  Info  |  * Shutdown: ToolTipManager  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  52
19:20:19  |  Core  |  Info  |  ToolTipManager successfully shutdown  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  57
19:20:19  |  Core  |  Info  |  * Shutdown: WidgetManager  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  91
19:20:19  |  Core  |  Info  |  WidgetManager successfully shutdown  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  100
19:20:19  |  Core  |  Info  |  Gui successfully shutdown  |  /usr/obj/ports/mygui-3.4.1/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_Gui.cpp  |  171
19:20:19  |  Platform  |  Info  |  * Shutdown: RenderManager  |  /usr/obj/ports/openmw-0.47.0/openmw-openmw-0.47.0/components/myguiplatform/myguirendermanager.cpp  |  368
19:20:19  |  Platform  |  Info  |  RenderManager successfully shutdown  |  /usr/obj/ports/openmw-0.47.0/openmw-openmw-0.47.0/components/myguiplatform/myguirendermanager.cpp  |  378
